elapsed_seconds,desired_replicas,ready_replicas,evidence_status
0,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
5,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
10,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
15,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
20,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
25,2,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
30,2,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
35,2,2,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
45,3,3,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
60,4,4,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
90,5,5,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
120,3,3,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
150,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
