elapsed_seconds,desired_replicas,ready_replicas,evidence_status
0,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
5,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
8,2,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
12,2,2,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
20,3,3,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
35,4,4,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
60,4,4,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
90,3,3,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
120,2,2,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
150,1,1,SIMULATED_ILLUSTRATION_NOT_A_TEST_RUN
